"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"Beloved","Toni Morrison",3.83,282045,"eng",324,2004,"Vintage","Fiction",9004,"Fiction"
"Goodnight Moon","Margaret Wise Brown/Clement Hurd",4.28,276426,"eng",32,2007,"HarperCollins","Juvenile Fiction",4975,"Young Adult and Children Fiction"
"The Call of the Wild","Jack London/Avi",3.86,274649,"eng",172,2001,"Scholastic","Juvenile Fiction",7203,"Young Adult and Children Fiction"
"Othello","William Shakespeare",3.89,273070,"eng",314,2004,"Simon  Schuster","Drama",4265,"Arts & Culture"
"1st to Die (Women's Murder Club  #1)","James Patterson",4.08,269826,"eng",424,2005,"Grand Central Publishing","Fiction",5220,"Fiction"
"The Lorax","Dr. Seuss",4.35,260054,"eng",72,1998,"Random House Books for Young Readers","Juvenile Fiction",3532,"Young Adult and Children Fiction"
"Dark Lover (Black Dagger Brotherhood  #1)","J.R. Ward",4.2,259511,"eng",393,2005,"Penguin Group (USA)","Fiction",10475,"Fiction"
"The Runaway Jury","John Grisham",3.98,249884,"eng",358,2006,"Delta","Fiction",1691,"Fiction"
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5)","Douglas Adams",4.38,249558,"eng",815,2002,"Del Rey Books","Fiction",4080,"Fiction"
"The Unbearable Lightness of Being","Milan Kundera/Michael Henry Heim",4.1,248686,"eng",320,2009,"Harper Perennial","Adultery",8251,"Social Sciences & Philosophy"
"A Short History of Nearly Everything","Bill Bryson",4.21,248558,"eng",544,2004,"Broadway Books","Science",9396,"Technology, Science & Animals"
"The Pact","Jodi Picoult",4.01,244774,"eng",512,2006,"Avon","Fiction",8841,"Fiction"
"Mere Christianity","C.S. Lewis",4.32,240060,"eng",191,1996,"Touchstone Books","Religion",5828,"Religious & Spiritual"
"A Brief History of Time","Stephen Hawking",4.17,239652,"eng",212,1998,"Bantam Books","Science",5860,"Technology, Science & Animals"
"A Little Princess","Frances Hodgson Burnett/Nancy Bond",4.2,238192,"eng",242,2002,"Penguin Books","Fiction",4392,"Fiction"
"I  Robot (Robot  #0.1)","Isaac Asimov",4.19,238100,"eng",224,2004,"Spectra","Fiction",4196,"Fiction"
"The Amber Spyglass  (His Dark Materials  #3)","Philip Pullman",4.09,237072,"eng",467,2003,"Laurel Leaf","Juvenile Fiction",6358,"Young Adult and Children Fiction"
"The Art of War","Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan",3.97,235924,"eng",273,2005,"Shambhala","Philosophy",5869,"Social Sciences & Philosophy"
"A Streetcar Named Desire","Tennessee Williams",3.98,235224,"eng",107,1952,"Dramatists Play Service","Drama",2409,"Arts & Culture"
"Odd Thomas (Odd Thomas  #1)","Dean Koontz",3.97,227884,"eng",446,2006,"Bantam","FICTION",6253,"Fiction"
